,Meta_Name,Meta_Content,Unigram,Top 20 Frequency Unigram,Bigram,Top 20 Bigram,Image URL
0,generator,Hexo 3.9.0,Machine,"('Machine', 18)","('Machine', 'Learning')","(('Machine', 'Learning'), 16)",https://pythonspot.com/wp-content/uploads/2017/09/python-tutorials.jpg
1,viewport,IE=edge,Learning,"('Learning', 18)","('Learning', '-')","(('Beginner', 'Machine'), 3)",
2,google-site-verification,"width=device-width, initial-scale=1",-,"(':', 15)","('-', 'Python')","(('Learning', 'Database'), 3)",
3,keyword,74feDl9yxH3_iP1Xjy6HEr7y44jOEkR5sJ8rkBy841Y,Python,"('.', 11)","('Python', 'Tutorial')","(('Database', 'GUI'), 3)",
4,twitter:title,,Tutorial,"('data', 9)","('Tutorial', 'Beginner')","(('GUI', 'More'), 3)",
5,twitter:site,en_US,Beginner,"(',', 9)","('Beginner', 'Machine')","((':', 'predict'), 3)",
6,twitter:creator,article,Machine,"('algorithms', 6)","('Machine', 'Learning')","(('More', 'Beginner'), 2)",
7,,Machine Learning,Learning,"('(', 5)","('Learning', 'Database')","(('make', 'predictions'), 2)",
8,,https://pythonspot.com/machine-learning/,Database,"(')', 5)","('Database', 'GUI')","(('based', 'data'), 2)",
9,,pythonspot,GUI,"('intelligent', 4)","('GUI', 'More')","(('data', '.'), 2)",
10,,Machine Learning,More,"('systems', 4)","('More', 'Beginner')","(('.', 'Machine'), 2)",
11,,@pythonspot,Beginner,"('recognition', 4)","('Beginner', 'Machine')","(('Learning', 'System'), 2)",
12,,@pythonspot,Machine,"('?', 4)","('Machine', 'Learning')","(('data', 'clustering'), 2)",
13,,,Learning,"('speech', 4)","('Learning', 'Database')","(('.', 'The'), 2)",
14,,,Database,"('-', 3)","('Database', 'GUI')","(('Related', 'Course'), 2)",
15,,,GUI,"('Python', 3)","('GUI', 'More')","(('Course', ':'), 2)",
16,,,More,"('Beginner', 3)","('More', 'Beginner')","((':', 'Machine'), 2)",
17,,,Beginner,"('Database', 3)","('Beginner', 'Machine')","(('Learning', 'Intro'), 2)",
18,,,Machine,"('GUI', 3)","('Machine', 'Learning')","(('Intro', 'Python'), 2)",
19,,,Learning,"('More', 3)","('Learning', 'Database')","(('Python', 'Developers'), 2)",
20,,,Database,,"('Database', 'GUI')",,
21,,,GUI,,"('GUI', 'More')",,
22,,,More,,"('More', 'Machine')",,
23,,,Machine,,"('Machine', 'Learning')",,
24,,,Learning,,"('Learning', 'Machine')",,
25,,,Machine,,"('Machine', 'Learning')",,
26,,,Learning,,"('Learning', 'essentially')",,
