,Meta_Name,Meta_Content,Unigram,Top 20 Frequency Unigram,Bigram,Top 20 Bigram,Image URL
0,viewport,"width=device-width, initial-scale=1.0, minimum-scale=1.0, maximum-scale=1.0, user-scalable=0",Exeter,"(',', 103)","('Exeter', '-')","(('.', 'We'), 10)",https://www.exeterpremedia.com/wp-content/uploads/2019/06/exeterpremedia-logo-.webp
1,format-detection,"IE=edge,chrome=1",-,"('.', 46)","('-', 'Services')","(('.', 'Our'), 8)",https://www.exeterpremedia.com/wp-content/uploads/2019/08/156557581042533096-1.png
2,description,telephone=no,Services,"('Services', 15)","('Services', 'Kriyadocs')","(('Exeter', '’'), 7)",
3,twitter:card,"Exeter provides editorial services such copyediting, proofreading and indexing, XML conversion services, artwork services and project management services.",Kriyadocs,"('services', 15)","('Kriyadocs', 'services')","(('Editorial', 'Services'), 5)",
4,twitter:description,en_US,services,"('We', 15)","('services', 'EDITORIAL')","(('Data', 'Services'), 5)",
5,twitter:title,article,EDITORIAL,"(')', 15)","('EDITORIAL', 'SERVICES')","(('Project', 'Management'), 5)",
6,twitter:site,Exeter - Services,SERVICES,"('-', 14)","('SERVICES', 'DATA')","((')', ','), 5)",
7,twitter:creator,"Exeter provides editorial services such copyediting, proofreading and indexing, XML conversion services, artwork services and project management services.",DATA,"('(', 14)","('DATA', 'SERVICES')","(('Artwork', '&'), 4)",
8,generator,https://www.exeterpremedia.com/services/,SERVICES,"('’', 12)","('SERVICES', 'ARTWORK')","(('&', 'Design'), 4)",
9,generator,Exeter,ARTWORK,"('Design', 10)","('ARTWORK', '&')","((')', '.'), 4)",
10,generator,summary_large_image,&,"('publishers', 10)","('&', 'DESIGN')","((',', 'Adobe'), 4)",
11,generator,"Exeter provides editorial services such copyediting, proofreading and indexing, XML conversion services, artwork services and project management services.",DESIGN,"('Our', 9)","('DESIGN', 'PROJECT')","(('authors', 'publishers'), 3)",
12,generator,Exeter - Services,PROJECT,"('Exeter', 8)","('PROJECT', 'MANAGEMENT')","(('turnaround', 'times'), 3)",
13,msapplication-TileImage,@Exeter_Premedia,MANAGEMENT,"('content', 8)","('MANAGEMENT', 'Resources')","(('times', '.'), 3)",
14,generator,@Exeter_Premedia,Resources,"('&', 7)","('Resources', 'BLOG')","(('etc', '.'), 3)",
15,,"Powered by LayerSlider 6.7.6 - Multi-Purpose, Responsive, Parallax, Mobile-Friendly Slider Plugin for WordPress.",BLOG,"('authors', 7)","('BLOG', 'About')","((',', 'including'), 3)",
16,,WordPress 5.2,About,"('books', 7)","('About', 'us')","(('page', 'composition'), 3)",
17,,MasterSlider 3.2.7 - Responsive Touch Image Slider,us,"('US', 6)","('us', 'ABOUT')","(('InDesign', ','), 3)",
18,,user,ABOUT,"('Data', 6)","('ABOUT', 'US')","(('Design', 'services'), 3)",
19,,"May 9, 2019",US,"('Artwork', 6)","('US', 'EVENTS')","(('books', 'journals'), 3)",
20,,"June 3, 2019",EVENTS,,"('EVENTS', 'NEWS')",,
21,,Exeter,NEWS,,"('NEWS', 'CONTACT')",,
22,,Powered by WPBakery Page Builder - drag and drop page builder for WordPress.,CONTACT,,"('CONTACT', 'US')",,
23,,"Powered by Slider Revolution 5.4.8 - responsive, Mobile-Friendly Slider Plugin for WordPress with comfortable drag and drop interface.",US,,"('US', 'careers')",,
24,,https://www.exeterpremedia.com/wp-content/uploads/2019/05/cropped-xfavicon-1.png.pagespeed.ic_._z8c2gtuz3-270x270.png,careers,,"('careers', 'Kriyadocs')",,
25,,Jupiter 6.1.1,Kriyadocs,,"('Kriyadocs', 'services')",,
26,,,services,,"('services', 'EDITORIAL')",,
27,,,EDITORIAL,,"('EDITORIAL', 'SERVICES')",,
28,,,SERVICES,,"('SERVICES', 'DATA')",,
29,,,DATA,,"('DATA', 'SERVICES')",,
30,,,SERVICES,,"('SERVICES', 'ARTWORK')",,
31,,,ARTWORK,,"('ARTWORK', '&')",,
32,,,&,,"('&', 'DESIGN')",,
33,,,DESIGN,,"('DESIGN', 'PROJECT')",,
34,,,PROJECT,,"('PROJECT', 'MANAGEMENT')",,
35,,,MANAGEMENT,,"('MANAGEMENT', 'Resources')",,
36,,,Resources,,"('Resources', 'BLOG')",,
37,,,BLOG,,"('BLOG', 'About')",,
38,,,About,,"('About', 'us')",,
39,,,us,,"('us', 'ABOUT')",,
40,,,ABOUT,,"('ABOUT', 'US')",,
41,,,US,,"('US', 'EVENTS')",,
42,,,EVENTS,,"('EVENTS', 'NEWS')",,
43,,,NEWS,,"('NEWS', 'CONTACT')",,
44,,,CONTACT,,"('CONTACT', 'US')",,
45,,,US,,"('US', 'careers')",,
46,,,careers,,"('careers', 'Editorial')",,
47,,,Editorial,,"('Editorial', 'Services')",,
48,,,Services,,"('Services', 'Data')",,
49,,,Data,,"('Data', 'Services')",,
50,,,Services,,"('Services', 'Artwork')",,
51,,,Artwork,,"('Artwork', '&')",,
52,,,&,,"('&', 'Design')",,
53,,,Design,,"('Design', 'Project')",,
54,,,Project,,"('Project', 'Management')",,
55,,,Management,,"('Management', 'Editorial')",,
56,,,Editorial,,"('Editorial', 'Services')",,
57,,,Services,,"('Services', 'Data')",,
58,,,Data,,"('Data', 'Services')",,
59,,,Services,,"('Services', 'Artwork')",,
60,,,Artwork,,"('Artwork', '&')",,
61,,,&,,"('&', 'Design')",,
62,,,Design,,"('Design', 'Project')",,
63,,,Project,,"('Project', 'Management')",,
64,,,Management,,"('Management', 'Exeter')",,
65,,,Exeter,,"('Exeter', '’')",,
66,,,’,,"('’', 'end-to-end')",,
67,,,end-to-end,,"('end-to-end', 'digital')",,
68,,,digital,,"('digital', 'publishing')",,
69,,,publishing,,"('publishing', 'services')",,
70,,,services,,"('services', 'designed')",,
71,,,designed,,"('designed', 'enable')",,
72,,,enable,,"('enable', 'authors')",,
73,,,authors,,"('authors', 'publishers')",,
74,,,publishers,,"('publishers', 'obtain')",,
75,,,obtain,,"('obtain', 'output')",,
76,,,output,,"('output', 'outstanding')",,
77,,,outstanding,,"('outstanding', 'quality')",,
78,,,quality,,"('quality', 'minimal')",,
79,,,minimal,,"('minimal', 'turnaround')",,
80,,,turnaround,,"('turnaround', 'times')",,
81,,,times,,"('times', '.')",,
82,,,.,,"('.', 'Our')",,
83,,,Our,,"('Our', 'processes')",,
84,,,processes,,"('processes', 'streamlined')",,
85,,,streamlined,,"('streamlined', 'platform-driven')",,
86,,,platform-driven,,"('platform-driven', ',')",,
87,,,",",,"(',', 'leaving')",,
88,,,leaving,,"('leaving', 'little')",,
89,,,little,,"('little', 'room')",,
90,,,room,,"('room', 'unintended')",,
91,,,unintended,,"('unintended', 'manual')",,
92,,,manual,,"('manual', 'errors')",,
93,,,errors,,"('errors', '.')",,
94,,,.,,"('.', 'We')",,
95,,,We,,"('We', 'dedicated')",,
96,,,dedicated,,"('dedicated', 'teams')",,
97,,,teams,,"('teams', 'specialized')",,
98,,,specialized,,"('specialized', 'skill')",,
99,,,skill,,"('skill', 'sets')",,
100,,,sets,,"('sets', 'defined')",,
101,,,defined,,"('defined', 'service')",,
102,,,service,,"('service', 'categories')",,
103,,,categories,,"('categories', 'copyediting')",,
104,,,copyediting,,"('copyediting', 'proofreading')",,
105,,,proofreading,,"('proofreading', '.')",,
106,,,.,,"('.', 'They')",,
107,,,They,,"('They', 'experienced')",,
108,,,experienced,,"('experienced', 'producing')",,
109,,,producing,,"('producing', 'publications')",,
110,,,publications,,"('publications', 'varied')",,
111,,,varied,,"('varied', 'fields')",,
112,,,fields,,"('fields', 'Science')",,
113,,,Science,,"('Science', ',')",,
114,,,",",,"(',', 'Technical')",,
115,,,Technical,,"('Technical', ',')",,
116,,,",",,"(',', 'Medicine')",,
117,,,Medicine,,"('Medicine', '(')",,
118,,,(,,"('(', 'STM')",,
119,,,STM,,"('STM', ')')",,
120,,,),,"(')', ',')",,
121,,,",",,"(',', 'education')",,
122,,,education,,"('education', ',')",,
123,,,",",,"(',', 'social')",,
124,,,social,,"('social', 'sciences')",,
125,,,sciences,,"('sciences', 'etc')",,
126,,,etc,,"('etc', '.')",,
127,,,.,,"('.', 'covering')",,
128,,,covering,,"('covering', 'breadth')",,
129,,,breadth,,"('breadth', 'academic')",,
130,,,academic,,"('academic', 'scholarly')",,
131,,,scholarly,,"('scholarly', 'publishing')",,
132,,,publishing,,"('publishing', ',')",,
133,,,",",,"(',', 'continually')",,
134,,,continually,,"('continually', 'keep')",,
135,,,keep,,"('keep', 'updated')",,
136,,,updated,,"('updated', 'changes')",,
137,,,changes,,"('changes', 'standards')",,
138,,,standards,,"('standards', 'technology')",,
139,,,technology,,"('technology', 'advances')",,
140,,,advances,,"('advances', '.')",,
141,,,.,,"('.', 'Our')",,
142,,,Our,,"('Our', 'services')",,
143,,,services,,"('services', 'spectrum')",,
144,,,spectrum,,"('spectrum', 'includes')",,
145,,,includes,,"('includes', 'Editorial')",,
146,,,Editorial,,"('Editorial', 'Services')",,
147,,,Services,,"('Services', ',')",,
148,,,",",,"(',', 'Data')",,
149,,,Data,,"('Data', 'Services')",,
150,,,Services,,"('Services', ',')",,
151,,,",",,"(',', 'Artwork')",,
152,,,Artwork,,"('Artwork', '&')",,
153,,,&,,"('&', 'Design')",,
154,,,Design,,"('Design', 'end-to-end')",,
155,,,end-to-end,,"('end-to-end', 'Project')",,
156,,,Project,,"('Project', 'Management')",,
157,,,Management,,"('Management', '.')",,
158,,,.,,"('.', 'Editorial')",,
159,,,Editorial,,"('Editorial', 'Services')",,
160,,,Services,,"('Services', 'Exeter')",,
161,,,Exeter,,"('Exeter', '’')",,
162,,,’,,"('’', 'Editorial')",,
163,,,Editorial,,"('Editorial', 'Services')",,
164,,,Services,,"('Services', 'help')",,
165,,,help,,"('help', 'achieve')",,
166,,,achieve,,"('achieve', 'editorial')",,
167,,,editorial,,"('editorial', 'excellence')",,
168,,,excellence,,"('excellence', ',')",,
169,,,",",,"(',', 'stand')",,
170,,,stand,,"('stand', 'succeed')",,
171,,,succeed,,"('succeed', 'publishing')",,
172,,,publishing,,"('publishing', 'goals')",,
173,,,goals,,"('goals', '.')",,
174,,,.,,"('.', 'We')",,
175,,,We,,"('We', 'experts')",,
176,,,experts,,"('experts', 'business')",,
177,,,business,,"('business', 'publishing')",,
178,,,publishing,,"('publishing', 'content')",,
179,,,content,,"('content', 'perfected')",,
180,,,perfected,,"('perfected', 'art')",,
181,,,art,,"('art', 'science')",,
182,,,science,,"('science', 'editorial')",,
183,,,editorial,,"('editorial', 'nuances')",,
184,,,nuances,,"('nuances', 'meets')",,
185,,,meets,,"('meets', 'needs')",,
186,,,needs,,"('needs', 'publishers')",,
187,,,publishers,,"('publishers', 'authors')",,
188,,,authors,,"('authors', 'looking')",,
189,,,looking,,"('looking', 'highest')",,
190,,,highest,,"('highest', 'quality')",,
191,,,quality,,"('quality', 'quick')",,
192,,,quick,,"('quick', 'turnaround')",,
193,,,turnaround,,"('turnaround', 'times')",,
194,,,times,,"('times', '.')",,
195,,,.,,"('.', 'Machine')",,
196,,,Machine,,"('Machine', 'learning')",,
197,,,learning,,"('learning', 'underlies')",,
198,,,underlies,,"('underlies', 'editorial')",,
199,,,editorial,,"('editorial', 'processes')",,
200,,,processes,,"('processes', '–')",,
201,,,–,,"('–', 'thus')",,
202,,,thus,,"('thus', 'ensuring')",,
203,,,ensuring,,"('ensuring', 'high')",,
204,,,high,,"('high', 'degree')",,
205,,,degree,,"('degree', 'quality')",,
206,,,quality,,"('quality', 'constantly')",,
207,,,constantly,,"('constantly', 'evolving')",,
208,,,evolving,,"('evolving', 'capability')",,
209,,,capability,,"('capability', '.')",,
210,,,.,,"('.', 'Copyediting')",,
211,,,Copyediting,,"('Copyediting', 'We')",,
212,,,We,,"('We', 'turn')",,
213,,,turn,,"('turn', 'good')",,
214,,,good,,"('good', 'book')",,
215,,,book,,"('book', 'great')",,
216,,,great,,"('great', 'book')",,
217,,,book,,"('book', 'workflow-driven')",,
218,,,workflow-driven,,"('workflow-driven', ',')",,
219,,,",",,"(',', 'collaborative')",,
220,,,collaborative,,"('collaborative', 'comprehensive')",,
221,,,comprehensive,,"('comprehensive', 'copyediting')",,
222,,,copyediting,,"('copyediting', 'services')",,
223,,,services,,"('services', '.')",,
224,,,.,,"('.', 'We')",,
225,,,We,,"('We', 'give')",,
226,,,give,,"('give', 'primacy')",,
227,,,primacy,,"('primacy', 'retaining')",,
228,,,retaining,,"('retaining', 'author')",,
229,,,author,,"('author', '’')",,
230,,,’,,"('’', 'voice')",,
231,,,voice,,"('voice', 'understanding')",,
232,,,understanding,,"('understanding', 'context')",,
233,,,context,,"('context', 'direct')",,
234,,,direct,,"('direct', 'interactions')",,
235,,,interactions,,"('interactions', 'authors')",,
236,,,authors,,"('authors', '.')",,
237,,,.,,"('.', 'Machine')",,
238,,,Machine,,"('Machine', 'learning-driven')",,
239,,,learning-driven,,"('learning-driven', 'examination')",,
240,,,examination,,"('examination', 'text')",,
241,,,text,,"('text', 'flow')",,
242,,,flow,,"('flow', ',')",,
243,,,",",,"(',', 'grammar')",,
244,,,grammar,,"('grammar', ',')",,
245,,,",",,"(',', 'errors')",,
246,,,errors,,"('errors', ',')",,
247,,,",",,"(',', 'repetitions')",,
248,,,repetitions,,"('repetitions', ',')",,
249,,,",",,"(',', 'style')",,
250,,,style,,"('style', 'mismatch')",,
251,,,mismatch,,"('mismatch', 'inconsistencies')",,
252,,,inconsistencies,,"('inconsistencies', 'ensures')",,
253,,,ensures,,"('ensures', 'fine')",,
254,,,fine,,"('fine', 'copy')",,
255,,,copy,,"('copy', '.')",,
256,,,.,,"('.', 'The')",,
257,,,The,,"('The', 'checks')",,
258,,,checks,,"('checks', 'provided')",,
259,,,provided,,"('provided', 'include')",,
260,,,include,,"('include', '–')",,
261,,,–,,"('–', 'Spelling')",,
262,,,Spelling,,"('Spelling', ',')",,
263,,,",",,"(',', 'including')",,
264,,,including,,"('including', 'UK')",,
265,,,UK,,"('UK', 'US')",,
266,,,US,,"('US', 'English')",,
267,,,English,,"('English', 'Grammar')",,
268,,,Grammar,,"('Grammar', ',')",,
269,,,",",,"(',', 'including')",,
270,,,including,,"('including', 'rephrasing')",,
271,,,rephrasing,,"('rephrasing', 'sentences')",,
272,,,sentences,,"('sentences', 'References')",,
273,,,References,,"('References', 'footnotes')",,
274,,,footnotes,,"('footnotes', 'style')",,
275,,,style,,"('style', 'publishing')",,
276,,,publishing,,"('publishing', ',')",,
277,,,",",,"(',', 'technical')",,
278,,,technical,,"('technical', 'accuracy')",,
279,,,accuracy,,"('accuracy', 'placement')",,
280,,,placement,,"('placement', 'citations')",,
281,,,citations,,"('citations', 'Appropriate')",,
282,,,Appropriate,,"('Appropriate', 'consistent')",,
283,,,consistent,,"('consistent', 'captioning')",,
284,,,captioning,,"('captioning', 'figures')",,
285,,,figures,,"('figures', 'tables')",,
286,,,tables,,"('tables', 'Mathematical')",,
287,,,Mathematical,,"('Mathematical', 'equations')",,
288,,,equations,,"('equations', 'subscripts')",,
289,,,subscripts,,"('subscripts', ',')",,
290,,,",",,"(',', 'superscripts')",,
291,,,superscripts,,"('superscripts', ',')",,
292,,,",",,"(',', 'exponents')",,
293,,,exponents,,"('exponents', 'symbols')",,
294,,,symbols,,"('symbols', 'Proofreading')",,
295,,,Proofreading,,"('Proofreading', 'Proofreading')",,
296,,,Proofreading,,"('Proofreading', 'perhaps')",,
297,,,perhaps,,"('perhaps', 'important')",,
298,,,important,,"('important', 'step')",,
299,,,step,,"('step', 'producing')",,
300,,,producing,,"('producing', 'ready-for-publication')",,
301,,,ready-for-publication,,"('ready-for-publication', 'book')",,
302,,,book,,"('book', 'journal')",,
303,,,journal,,"('journal', '.')",,
304,,,.,,"('.', 'Exeter')",,
305,,,Exeter,,"('Exeter', '’')",,
306,,,’,,"('’', 'highly')",,
307,,,highly,,"('highly', 'proficient')",,
308,,,proficient,,"('proficient', 'team')",,
309,,,team,,"('team', 'ensures')",,
310,,,ensures,,"('ensures', 'crucial')",,
311,,,crucial,,"('crucial', 'check')",,
312,,,check,,"('check', 'copyedited')",,
313,,,copyedited,,"('copyedited', 'text')",,
314,,,text,,"('text', 'produces')",,
315,,,produces,,"('produces', 'output')",,
316,,,output,,"('output', 'consistent')",,
317,,,consistent,,"('consistent', ',')",,
318,,,",",,"(',', 'complies')",,
319,,,complies,,"('complies', 'publisher')",,
320,,,publisher,,"('publisher', '’')",,
321,,,’,,"('’', 'house')",,
322,,,house,,"('house', 'style')",,
323,,,style,,"('style', 'meets')",,
324,,,meets,,"('meets', 'highest')",,
325,,,highest,,"('highest', 'standards')",,
326,,,standards,,"('standards', '.')",,
327,,,.,,"('.', 'Apart')",,
328,,,Apart,,"('Apart', 'checking')",,
329,,,checking,,"('checking', 'typical')",,
330,,,typical,,"('typical', 'errors')",,
331,,,errors,,"('errors', 'style')",,
332,,,style,,"('style', ',')",,
333,,,",",,"(',', 'fonts')",,
334,,,fonts,,"('fonts', ',')",,
335,,,",",,"(',', 'capitalisation')",,
336,,,capitalisation,,"('capitalisation', ',')",,
337,,,",",,"(',', 'italicisation')",,
338,,,italicisation,,"('italicisation', ',')",,
339,,,",",,"(',', 'hyphenation')",,
340,,,hyphenation,,"('hyphenation', ',')",,
341,,,",",,"(',', 'correct')",,
342,,,correct,,"('correct', 'usage')",,
343,,,usage,,"('usage', 'symbols')",,
344,,,symbols,,"('symbols', '(')",,
345,,,(,,"('(', 'example')",,
346,,,example,,"('example', 'equations')",,
347,,,equations,,"('equations', ')')",,
348,,,),,"(')', ',')",,
349,,,",",,"(',', 'also')",,
350,,,also,,"('also', 'ensure')",,
351,,,ensure,,"('ensure', 'consistency')",,
352,,,consistency,,"('consistency', 'typefaces')",,
353,,,typefaces,,"('typefaces', 'hierarchies')",,
354,,,hierarchies,,"('hierarchies', '.')",,
355,,,.,,"('.', 'Be')",,
356,,,Be,,"('Be', 'journal')",,
357,,,journal,,"('journal', 'articles')",,
358,,,articles,,"('articles', ',')",,
359,,,",",,"(',', 'books')",,
360,,,books,,"('books', ',')",,
361,,,",",,"(',', 'PhD')",,
362,,,PhD,,"('PhD', 'theses')",,
363,,,theses,,"('theses', ',')",,
364,,,",",,"(',', 'dissertations')",,
365,,,dissertations,,"('dissertations', ',')",,
366,,,",",,"(',', 'proposals')",,
367,,,proposals,,"('proposals', 'STM')",,
368,,,STM,,"('STM', 'field')",,
369,,,field,,"('field', '–')",,
370,,,–,,"('–', 'proofread')",,
371,,,proofread,,"('proofread', 'produce')",,
372,,,produce,,"('produce', 'polished')",,
373,,,polished,,"('polished', 'content')",,
374,,,content,,"('content', '.')",,
375,,,.,,"('.', 'Indexing')",,
376,,,Indexing,,"('Indexing', 'An')",,
377,,,An,,"('An', 'index')",,
378,,,index,,"('index', 'collection')",,
379,,,collection,,"('collection', 'mere')",,
380,,,mere,,"('mere', 'keywords')",,
381,,,keywords,,"('keywords', 'phrases')",,
382,,,phrases,,"('phrases', ',')",,
383,,,",",,"(',', 'organized')",,
384,,,organized,,"('organized', 'map')",,
385,,,map,,"('map', 'contents')",,
386,,,contents,,"('contents', ',')",,
387,,,",",,"(',', 'including')",,
388,,,including,,"('including', 'cross-references')",,
389,,,cross-references,,"('cross-references', ',')",,
390,,,",",,"(',', 'grouping')",,
391,,,grouping,,"('grouping', 'like')",,
392,,,like,,"('like', 'concepts')",,
393,,,concepts,,"('concepts', 'useful')",,
394,,,useful,,"('useful', 'information')",,
395,,,information,,"('information', 'intellectual')",,
396,,,intellectual,,"('intellectual', 'analysis')",,
397,,,analysis,,"('analysis', '(')",,
398,,,(,,"('(', 'especially')",,
399,,,especially,,"('especially', ',')",,
400,,,",",,"(',', 'non-trade')",,
401,,,non-trade,,"('non-trade', 'publications')",,
402,,,publications,,"('publications', ')')",,
403,,,),,"(')', '.')",,
404,,,.,,"('.', 'The')",,
405,,,The,,"('The', 'absence')",,
406,,,absence,,"('absence', 'may')",,
407,,,may,,"('may', 'make')",,
408,,,make,,"('make', 'even')",,
409,,,even,,"('even', 'good')",,
410,,,good,,"('good', 'subject')",,
411,,,subject,,"('subject', 'content')",,
412,,,content,,"('content', 'go')",,
413,,,go,,"('go', 'unnoticed')",,
414,,,unnoticed,,"('unnoticed', 'reader')",,
415,,,reader,,"('reader', '.')",,
416,,,.,,"('.', 'Exeter')",,
417,,,Exeter,,"('Exeter', '’')",,
418,,,’,,"('’', 'professional')",,
419,,,professional,,"('professional', 'indexers')",,
420,,,indexers,,"('indexers', 'ensure')",,
421,,,ensure,,"('ensure', 'content')",,
422,,,content,,"('content', 'indexed')",,
423,,,indexed,,"('indexed', 'comprehensively')",,
424,,,comprehensively,,"('comprehensively', 'related')",,
425,,,related,,"('related', 'concepts')",,
426,,,concepts,,"('concepts', 'different')",,
427,,,different,,"('different', 'sections')",,
428,,,sections,,"('sections', 'book')",,
429,,,book,,"('book', 'cross-referenced')",,
430,,,cross-referenced,,"('cross-referenced', 'grouped')",,
431,,,grouped,,"('grouped', '.')",,
432,,,.,,"('.', 'We')",,
433,,,We,,"('We', 'create')",,
434,,,create,,"('create', 'simple')",,
435,,,simple,,"('simple', ',')",,
436,,,",",,"(',', 'keyword')",,
437,,,keyword,,"('keyword', 'based')",,
438,,,based,,"('based', ',')",,
439,,,",",,"(',', 'flat')",,
440,,,flat,,"('flat', '(')",,
441,,,(,,"('(', 'single-level')",,
442,,,single-level,,"('single-level', ')')",,
443,,,),,"(')', 'author')",,
444,,,author,,"('author', 'subject')",,
445,,,subject,,"('subject', 'indexes')",,
446,,,indexes,,"('indexes', 'complex')",,
447,,,complex,,"('complex', ',')",,
448,,,",",,"(',', 'topical')",,
449,,,topical,,"('topical', ',')",,
450,,,",",,"(',', 'multi-level')",,
451,,,multi-level,,"('multi-level', 'indexes')",,
452,,,indexes,,"('indexes', 'content-intensive')",,
453,,,content-intensive,,"('content-intensive', 'books')",,
454,,,books,,"('books', 'publications')",,
455,,,publications,,"('publications', 'increase')",,
456,,,increase,,"('increase', 'value')",,
457,,,value,,"('value', 'publication')",,
458,,,publication,,"('publication', 'manifold')",,
459,,,manifold,,"('manifold', '.')",,
460,,,.,,"('.', 'Data')",,
461,,,Data,,"('Data', 'Services')",,
462,,,Services,,"('Services', 'Exeter')",,
463,,,Exeter,,"('Exeter', '’')",,
464,,,’,,"('’', 'Data')",,
465,,,Data,,"('Data', 'Services')",,
466,,,Services,,"('Services', 'help')",,
467,,,help,,"('help', 'publishers')",,
468,,,publishers,,"('publishers', 'go')",,
469,,,go,,"('go', 'digital')",,
470,,,digital,,"('digital', '.')",,
471,,,.,,"('.', 'Backed')",,
472,,,Backed,,"('Backed', '15')",,
473,,,15,,"('15', 'years')",,
474,,,years,,"('years', 'experience')",,
475,,,experience,,"('experience', ',')",,
476,,,",",,"(',', 'data')",,
477,,,data,,"('data', 'conversion')",,
478,,,conversion,,"('conversion', 'services')",,
479,,,services,,"('services', 'enable')",,
480,,,enable,,"('enable', 'create')",,
481,,,create,,"('create', 'new')",,
482,,,new,,"('new', 'publication')",,
483,,,publication,,"('publication', 'also')",,
484,,,also,,"('also', 'migrate')",,
485,,,migrate,,"('migrate', 'existing')",,
486,,,existing,,"('existing', 'print')",,
487,,,print,,"('print', 'versions')",,
488,,,versions,,"('versions', 'multiple')",,
489,,,multiple,,"('multiple', 'digital')",,
490,,,digital,,"('digital', 'formats')",,
491,,,formats,,"('formats', '.')",,
492,,,.,,"('.', 'We')",,
493,,,We,,"('We', 'single')",,
494,,,single,,"('single', 'point')",,
495,,,point,,"('point', 'contact')",,
496,,,contact,,"('contact', 'ensure')",,
497,,,ensure,,"('ensure', 'successful')",,
498,,,successful,,"('successful', 'content')",,
499,,,content,,"('content', 'conversions')",,
500,,,conversions,,"('conversions', 'various')",,
501,,,various,,"('various', 'data')",,
502,,,data,,"('data', 'sources')",,
503,,,sources,,"('sources', 'typeset')",,
504,,,typeset,,"('typeset', 'format')",,
505,,,format,,"('format', 'needed')",,
506,,,needed,,"('needed', 'without')",,
507,,,without,,"('without', 'compromising')",,
508,,,compromising,,"('compromising', 'quality')",,
509,,,quality,,"('quality', '.')",,
510,,,.,,"('.', 'Typesetting')",,
511,,,Typesetting,,"('Typesetting', 'Our')",,
512,,,Our,,"('Our', 'typesetting')",,
513,,,typesetting,,"('typesetting', 'page')",,
514,,,page,,"('page', 'composition')",,
515,,,composition,,"('composition', 'services')",,
516,,,services,,"('services', 'based')",,
517,,,based,,"('based', 'XML-first')",,
518,,,XML-first,,"('XML-first', 'workflow')",,
